Squad,# Pl,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Année édition
M'Gladbach,21,8.0,15,73,31,42.5,9.12,3.87,0.18,0.42,17.1,5,2,2,11.6,10.0,0.14,+3.4,+3.0,2021
Manchester City,25,13.0,24,167,71,42.5,12.85,5.46,0.13,0.31,17.1,7,2,2,22.5,21.0,0.13,+1.5,+1.0,2021
Manchester Utd,23,6.0,14,82,32,39.0,13.67,5.33,0.12,0.31,18.8,4,4,4,11.5,8.3,0.10,+2.5,+1.7,2021
Marseille,20,6.0,2,47,11,23.4,7.83,1.83,0.00,0.00,21.0,1,2,3,5.9,3.5,0.08,-3.9,-3.5,2021
Midtjylland,22,6.0,4,61,21,34.4,10.17,3.50,0.03,0.10,17.9,3,2,2,7.1,5.5,0.09,-3.1,-3.5,2021
Olympiacos,21,6.0,2,44,10,22.7,7.33,1.67,0.05,0.20,18.1,1,0,0,4.1,4.1,0.09,-2.1,-2.1,2021
Paris S-G,23,12.0,21,140,47,33.6,11.67,3.92,0.13,0.38,17.4,6,3,4,21.4,18.3,0.13,-0.4,-0.3,2021
Porto,26,10.3,15,79,35,44.3,7.65,3.39,0.14,0.31,18.7,1,4,4,12.5,9.4,0.13,+2.5,+1.6,2021
RB Leipzig,20,8.0,11,99,30,30.3,12.38,3.75,0.10,0.33,17.0,0,1,1,10.6,9.8,0.10,+0.4,+0.2,2021
RB Salzburg,19,6.0,9,103,39,37.9,17.17,6.50,0.09,0.23,18.0,5,0,0,11.2,11.2,0.11,-2.2,-2.2,2021
Real Madrid,25,12.0,18,161,61,37.9,13.42,5.08,0.10,0.26,17.9,2,2,2,19.2,17.6,0.11,-1.2,-1.6,2021
Rennes,26,6.0,3,71,25,35.2,11.83,4.17,0.01,0.04,18.3,3,2,2,7.6,6.0,0.09,-4.6,-5.0,2021
Sevilla,25,8.0,13,128,49,38.3,16.00,6.12,0.09,0.24,17.6,6,1,1,12.1,11.3,0.09,+0.9,+0.7,2021
Shakhtar,23,6.0,4,41,17,41.5,6.83,2.83,0.10,0.24,20.3,1,0,0,4.7,4.7,0.12,-0.7,-0.7,2021
Zenit,21,6.0,3,59,14,23.7,9.83,2.33,0.05,0.21,19.8,1,0,0,5.6,5.6,0.09,-2.6,-2.6,2021
Ajax,19,6.0,10,76,24,31.6,12.67,4.00,0.13,0.42,17.8,3,0,0,7.5,7.5,0.10,+2.5,+2.5,2020
Atalanta,23,9.0,17,113,40,35.4,12.56,4.44,0.12,0.33,16.8,6,4,5,17.7,13.7,0.13,-0.7,-0.7,2020
Atlético Madrid,21,9.3,13,119,43,36.1,12.75,4.61,0.09,0.26,19.3,2,2,3,15.3,12.9,0.11,-2.3,-1.9,2020
Barcelona,24,9.0,13,103,42,40.8,11.44,4.67,0.12,0.29,17.8,8,1,1,14.4,13.6,0.13,-1.4,-1.6,2020
