Squad,# Pl,Poss,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Année édition
Liverpool,20,51.6,13.0,8541,722,2211,4203,2210,375,8536,182,118,64.8,64,35.2,5038,25344,13710,269,214,66,196,151,5583,625,2019
Loko Moscow,19,45.8,6.0,3423,329,912,1674,871,111,3422,73,41,56.2,32,43.8,1551,9592,5102,103,81,30,96,74,1937,203,2019
Lyon,21,43.6,8.0,4775,537,1498,2358,978,174,4775,143,92,64.3,51,35.7,2815,15412,8176,157,115,49,118,81,3139,288,2019
Manchester City,21,63.0,10.0,7814,497,1493,4363,2026,315,7810,191,117,61.3,73,38.2,5677,29227,16288,312,240,88,115,120,5939,576,2019
Manchester Utd,26,45.6,10.0,6044,563,1587,3050,1456,177,6042,145,84,57.9,61,42.1,3230,17230,9405,205,155,58,131,120,4112,394,2019
Monaco,29,45.0,6.0,3632,339,1098,1788,782,88,3631,76,36,47.4,40,52.6,2425,13279,7204,135,106,25,77,76,2430,239,2019
Napoli,18,56.3,6.0,4755,388,1159,2612,1010,118,4754,76,46,60.5,30,39.5,3012,12223,7116,97,94,16,63,55,3444,312,2019
Paris S-G,20,58.5,8.0,5982,453,1680,3014,1338,214,5982,155,95,61.3,60,38.7,3577,18391,9879,212,153,58,113,80,4445,339,2019
Porto,25,53.0,10.3,6153,582,1893,2919,1410,230,6148,201,108,53.7,93,46.3,3349,19332,9595,191,166,50,149,123,3738,372,2019
PSV Eindhoven,18,31.8,6.0,2775,481,1102,1125,580,97,2775,71,38,53.5,33,46.5,1231,7455,3937,85,63,19,78,56,1440,142,2019
Real Madrid,24,62.1,8.0,6291,471,1504,2999,1837,269,6291,148,91,61.5,57,38.5,4125,22827,11606,257,167,87,109,78,4660,535,2019
Red Star,20,30.5,6.0,2781,476,1227,1158,423,54,2781,70,41,58.6,29,41.4,1520,7429,3466,63,63,11,80,60,1404,116,2019
Roma,24,49.3,8.3,5032,553,1630,2356,1100,189,5031,146,80,54.8,66,45.2,2753,15155,7862,153,100,39,115,81,3268,396,2019
Schalke 04,27,42.3,8.0,4164,393,1463,1921,830,125,4161,122,67,54.9,55,45.1,2076,12991,6767,147,104,31,104,102,2419,240,2019
Shakhtar,20,49.2,6.0,3774,410,1221,1773,817,130,3774,66,33,50.0,33,50.0,2399,12707,6655,135,121,31,83,62,2613,212,2019
Tottenham,24,52.5,13.0,8508,819,2443,4165,1983,316,8508,252,148,58.7,104,41.3,5220,26422,13095,275,194,82,214,153,5693,557,2019
Valencia,22,50.3,6.0,3679,327,1004,1840,866,122,3678,98,59,60.2,38,38.8,2359,11973,6365,126,99,23,88,68,2465,267,2019
Viktoria Plzeň,21,38.8,6.0,3003,426,1102,1263,673,104,3002,61,30,49.2,31,50.8,1360,8516,4394,93,84,21,53,51,1760,204,2019
Young Boys,20,41.3,6.0,3226,355,983,1561,720,101,3224,66,35,53.0,31,47.0,1665,10214,5373,109,100,21,99,47,1924,178,2019
Anderlecht,20,42.5,6.0,3606,343,976,1913,757,93,3606,93,59,63.4,34,36.6,1761,9417,4838,88,76,18,76,66,2398,242,2018
APOEL FC,21,31.7,6.0,2748,452,1188,1143,447,71,2748,68,28,41.2,40,58.8,1350,7386,3672,63,45,16,85,70,1451,125,2018
Atlético Madrid,20,51.8,6.0,4004,296,948,1952,1146,144,4003,95,59,62.1,36,37.9,2376,13220,7452,158,125,31,82,71,2725,295,2018
Barcelona,22,64.2,10.0,8198,609,1997,4282,1967,237,8198,177,113,63.8,64,36.2,5343,24993,13094,198,201,71,123,105,6317,510,2018
Basel,21,35.9,8.0,4035,455,1495,1946,657,108,4034,148,92,62.2,54,36.5,2108,11543,6239,126,88,31,118,70,2292,196,2018
Bayern Munich,22,58.8,12.0,8775,639,2102,4184,2563,416,8774,190,126,66.3,64,33.7,5415,28267,15006,329,277,93,131,129,6327,723,2018
Benfica,25,56.8,6.0,4249,255,886,2396,993,107,4249,110,77,70.0,33,30.0,2444,13077,7168,137,112,20,77,73,2974,247,2018
Beşiktaş,23,47.8,8.0,4582,560,1563,2158,907,138,4580,136,83,61.0,52,38.2,2182,12324,6279,135,92,35,131,90,2685,262,2018
Celtic,20,43.0,6.0,3755,464,1450,1886,465,80,3755,108,65,60.2,43,39.8,2033,10606,5497,112,82,32,82,64,2573,156,2018
Chelsea,19,45.9,8.0,5008,415,1369,2385,1317,193,5006,166,111,66.9,55,33.1,3053,16835,8854,178,121,50,103,104,3472,340,2018
CSKA Moscow,20,43.5,6.0,3594,342,1132,1730,774,94,3593,68,45,66.2,23,33.8,1621,8681,4729,101,82,12,88,73,2140,196,2018
Dortmund,22,58.3,6.0,4528,311,1116,2370,1081,144,4528,110,68,61.8,42,38.2,2723,13991,7262,133,119,38,86,60,3278,313,2018
Feyenoord,23,39.0,6.0,3216,399,1290,1483,483,55,3215,85,60,70.6,25,29.4,1897,9666,4346,81,55,13,87,55,1948,137,2018
Juventus,23,49.4,10.0,6335,533,1881,3225,1288,182,6333,159,117,73.6,42,26.4,3764,18303,9065,191,142,46,122,87,4404,397,2018
Liverpool,24,50.0,13.0,8804,710,2209,4555,2127,376,8801,266,174,65.4,90,33.8,5511,26072,14014,280,223,90,173,121,5794,608,2018
Manchester City,25,65.8,10.0,9099,556,1983,5232,1976,270,9097,253,183,72.3,69,27.3,6621,31359,16274,296,267,70,166,113,7018,562,2018
Manchester Utd,25,56.9,8.0,5802,428,1384,3172,1299,170,5799,175,112,64.0,63,36.0,3964,18965,9748,190,150,43,112,73,4074,343,2018
Monaco,23,47.2,6.0,3378,297,934,1690,793,108,3377,94,56,59.6,38,40.4,1846,9829,5171,89,77,18,84,83,1951,274,2018
Napoli,20,54.7,6.0,4453,332,1060,2586,851,107,4449,75,49,65.3,26,34.7,2616,12464,7188,129,107,24,77,63,3241,315,2018
NK Maribor,17,33.8,6.0,3082,524,1354,1277,484,57,3082,87,49,56.3,38,43.7,1484,9572,5096,94,78,17,76,61,1850,150,2018
Olympiacos,22,36.8,6.0,2997,405,1138,1313,581,60,2997,94,51,54.3,43,45.7,1620,9205,4469,85,64,15,51,61,1828,167,2018
Paris S-G,19,53.3,8.0,5956,491,1714,2996,1326,239,5955,218,137,62.8,81,37.2,3525,18454,9728,210,156,47,107,108,4434,361,2018
Porto,25,45.1,8.0,4552,466,1563,2173,887,176,4552,180,107,59.4,73,40.6,2634,14672,7154,159,109,38,110,118,2726,274,2018
Qarabağ FK,20,44.0,6.0,3543,468,1410,1792,380,42,3543,97,58,59.8,39,40.2,2057,11170,5145,97,69,17,89,41,2318,147,2018
RB Leipzig,19,55.8,6.0,4010,355,1090,2093,874,144,4009,124,90,72.6,34,27.4,2074,12229,6693,162,115,47,113,78,2518,269,2018
Real Madrid,23,57.4,13.0,9726,733,2453,4764,2597,385,9722,223,155,69.5,68,30.5,6464,32317,16867,365,263,112,137,119,7179,727,2018
