Squad,# Pl,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Année édition
Manchester City,25,10.0,245,24.50,179,17,22,10,12,5,37,3.70,27,3,3,3,1,0,2018
Manchester Utd,25,8.0,199,24.87,136,14,22,8,17,2,23,2.87,17,1,1,1,3,0,2018
Monaco,23,6.0,119,19.83,82,14,4,6,10,3,10,1.67,3,1,1,3,1,1,2018
Napoli,20,6.0,119,19.83,98,5,2,6,7,1,15,2.50,10,0,1,1,3,0,2018
NK Maribor,17,6.0,107,17.83,80,12,6,4,4,1,5,0.83,4,0,1,0,0,0,2018
Olympiacos,22,6.0,74,12.33,48,5,7,5,7,2,7,1.17,4,2,0,0,0,1,2018
Paris S-G,19,8.0,215,26.87,171,13,11,11,9,0,45,5.63,33,2,3,5,2,0,2018
Porto,25,8.0,178,22.25,125,17,13,14,7,2,27,3.38,19,3,1,2,2,0,2018
Qarabağ FK,20,6.0,59,9.83,38,3,9,3,3,3,2,0.33,1,1,0,0,0,0,2018
RB Leipzig,19,6.0,166,27.67,118,8,24,9,4,3,16,2.67,9,0,4,1,1,1,2018
Real Madrid,23,13.0,411,31.62,330,25,22,17,11,6,56,4.31,48,0,3,2,3,0,2018
Roma,20,12.0,315,26.25,228,31,21,13,14,8,35,2.92,25,2,3,3,2,0,2018
Sevilla,22,10.0,280,28.00,213,21,16,15,11,4,26,2.60,13,4,3,2,3,1,2018
Shakhtar,20,8.0,147,18.37,99,12,20,9,6,1,19,2.37,12,0,5,1,1,0,2018
Spartak Moscow,20,6.0,135,22.50,101,7,12,4,9,2,14,2.33,9,0,1,3,1,0,2018
Sporting CP,21,6.0,98,16.33,63,14,3,6,6,6,11,1.83,5,2,0,2,1,1,2018
Tottenham,26,8.0,210,26.25,148,18,19,15,6,4,33,4.12,26,0,6,0,1,0,2018
