Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Année édition
47,Syarhey Vyeramko,by BLR,GK,BATE Borisov,25,1982,6,6,540,6.0,8,1.33,35,27,77.1,0,3,3,1,16.7,,,,,,2008-2009
48,Tim Wiese,de GER,GK,Werder Bremen,26,1981,4,4,360,4.0,5,1.25,20,15,75.0,1,2,1,1,25.0,,,,,,2008-2009
49,Róbinson Zapata,co COL,GK,Steaua,29,1978,6,6,540,6.0,12,2.00,46,34,73.9,1,1,4,1,16.7,,,,,,2008-2009
50,Karim Zaza,ma MAR,GK,Aalborg,33,1975,6,6,540,6.0,14,2.33,38,24,63.2,1,3,2,1,16.7,,,,,,2008-2009
1,Igor Akinfeev,ru RUS,GK,CSKA Moscow,21,1986,3,3,270,3.0,4,1.33,18,14,77.8,0,1,2,0,0.0,,,,,,2007-2008
2,Manuel Almunia,es ESP,GK,Arsenal,30,1977,8,8,720,8.0,8,1.00,32,24,75.0,3,3,2,1,12.5,,,,,,2007-2008
3,Hakan Arıkan,tr TUR,GK,Beşiktaş,24,1982,4,4,360,4.0,12,3.00,31,19,61.3,1,0,3,0,0.0,,,,,,2007-2008
4,Helton Arruda,br BRA,GK,Porto,29,1978,7,7,660,7.3,7,0.95,31,24,77.4,4,1,2,3,42.9,,,,,,2007-2008
5,Marco Ballotta,it ITA,GK,Lazio,43,1964,6,6,540,6.0,11,1.83,33,22,66.7,1,2,3,0,0.0,,,,,,2007-2008
6,Artur Boruc,pl POL,GK,Celtic,27,1980,8,8,720,8.0,10,1.25,44,34,77.3,3,0,5,1,12.5,,,,,,2007-2008
7,Santiago Cañizares,es ESP,GK,Valencia,37,1969,4,4,360,4.0,2,0.50,16,14,87.5,1,2,1,4,100.0,,,,,,2007-2008
8,Iker Casillas,es ESP,GK,Real Madrid,26,1981,8,8,720,8.0,13,1.62,42,29,69.0,3,2,3,1,12.5,,,,,,2007-2008
9,Petr Čech,cz CZE,GK,Chelsea,25,1982,9,9,826,9.2,5,0.54,39,34,87.2,4,6,0,4,44.4,,,,,,2007-2008
