Squad,# Pl,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Année édition
Wolfsburg,1,6,6,540,,8,1.33,28,20,71.4,2,1,3,2,33.3,,,,,,2009-2010
Zürich,1,10,10,540,,14,2.33,38,24,63.2,3,2,5,1,10.0,,,,,,2009-2010
Aalborg,1,10,10,540,,14,2.33,38,24,63.2,5,3,2,1,10.0,,,,,,2008-2009
Anorthosis,2,12,12,540,,8,1.33,43,35,81.4,5,3,4,1,8.3,,,,,,2008-2009
Arsenal,2,14,14,"1,110",,11,0.89,59,48,81.4,7,3,4,5,35.7,,,,,,2008-2009
Atlético Madrid,2,10,10,720,,6,0.75,42,36,85.7,4,5,1,3,30.0,,,,,,2008-2009
Barcelona,2,15,15,"1,170",,13,1.00,37,24,64.9,8,6,2,4,26.7,,,,,,2008-2009
Basel,1,10,10,540,,16,2.67,47,31,66.0,2,3,5,0,0.0,,,,,,2008-2009
BATE Borisov,1,12,12,540,,8,1.33,35,27,77.1,4,5,3,1,8.3,,,,,,2008-2009
Bayern Munich,2,10,10,900,,10,1.00,56,46,82.1,6,3,1,4,40.0,,,,,,2008-2009
Bordeaux,2,6,6,540,,11,1.83,26,15,57.7,2,1,3,1,16.7,,,,,,2008-2009
Celtic,1,6,6,540,,7,1.17,34,27,79.4,1,2,3,2,33.3,,,,,,2008-2009
CFR Cluj,2,6,6,540,,9,1.50,34,25,73.5,1,1,4,1,16.7,,,,,,2008-2009
Chelsea,1,12,12,"1,080",,13,1.08,51,38,74.5,5,6,1,5,41.7,,,,,,2008-2009
Dynamo Kyiv,1,10,10,540,,4,0.67,33,29,87.9,5,3,2,3,30.0,,,,,,2008-2009
Fenerbahçe,1,10,10,540,,11,1.83,26,15,57.7,3,3,4,2,20.0,,,,,,2008-2009
Fiorentina,1,8,8,540,,8,1.33,34,26,76.5,2,4,2,2,25.0,,,,,,2008-2009
Inter,2,8,8,720,,9,1.13,51,42,82.4,2,3,3,3,37.5,,,,,,2008-2009
Juventus,2,10,10,720,,6,0.75,35,29,82.9,4,5,1,4,40.0,,,,,,2008-2009
Liverpool,2,12,12,900,,12,1.20,46,34,73.9,7,4,1,3,25.0,,,,,,2008-2009
Lyon,1,8,8,720,,16,2.00,42,26,61.9,3,3,2,1,12.5,,,,,,2008-2009
Manchester Utd,3,13,13,"1,170",,8,0.62,48,40,83.3,6,7,1,8,61.5,,,,,,2008-2009
Marseille,1,8,8,540,,7,1.17,22,15,68.2,3,1,4,2,25.0,,,,,,2008-2009
Panathinaikos,2,12,12,720,,10,1.25,42,32,76.2,6,3,3,3,25.0,,,,,,2008-2009
Porto,2,10,10,900,,13,1.30,47,34,72.3,4,3,3,2,20.0,,,,,,2008-2009
PSV Eindhoven,1,6,6,540,,14,2.33,38,24,63.2,1,0,5,1,16.7,,,,,,2008-2009
Real Madrid,2,8,8,720,,10,1.25,36,26,72.2,4,0,4,3,37.5,,,,,,2008-2009
Roma,1,8,8,750,,7,0.84,46,39,84.8,5,0,3,2,25.0,,,,,,2008-2009
Shakhtar,1,8,8,540,,7,1.17,28,21,75.0,5,0,3,1,12.5,,,,,,2008-2009
Sporting CP,2,8,8,720,,20,2.50,50,30,60.0,4,0,4,4,50.0,,,,,,2008-2009
Steaua,1,8,8,540,,12,2.00,46,34,73.9,1,2,5,1,12.5,,,,,,2008-2009
Villarreal,2,10,10,900,,13,1.30,54,41,75.9,3,5,2,3,30.0,,,,,,2008-2009
Werder Bremen,2,6,6,540,,9,1.50,31,22,71.0,1,4,1,1,16.7,,,,,,2008-2009
Zenit,1,6,6,540,,7,1.17,32,25,78.1,1,2,3,2,33.3,,,,,,2008-2009
Arsenal,2,12,12,900,,9,0.90,37,28,75.7,7,3,2,2,16.7,,,,,,2007-2008
Barcelona,2,12,12,"1,080",,6,0.50,43,37,86.0,8,3,1,8,66.7,,,,,,2007-2008
Benfica,1,8,8,540,,6,1.00,31,25,80.6,4,1,3,1,12.5,,,,,,2007-2008
Beşiktaş,2,10,10,540,,15,2.50,42,27,64.3,5,1,4,0,0.0,,,,,,2007-2008
Celtic,1,10,10,720,,10,1.25,44,34,77.3,3,2,5,1,10.0,,,,,,2007-2008
Chelsea,3,13,13,"1,230",,7,0.51,58,51,87.9,6,7,1,7,53.8,,,,,,2007-2008
